"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R8","RESC0603-01","1441mil","2238.401mil","1441mil","2238.401mil","1441mil","2206.905mil","T","90.00","10K"
"R9","RESC0603-01","1378mil","2238.401mil","1378mil","2238.401mil","1378mil","2206.905mil","T","90.00","10K"
"R10","RESC0603-01","1165mil","2288.74mil","1165mil","2288.74mil","1165mil","2320.236mil","T","270.00","10K"
"R17","RESC0603-01","1065mil","1385mil","1065mil","1385mil","1096.496mil","1385mil","T","180.00","RES-000206-01"
"R18","RESC0603-01","1842mil","1209.401mil","1842mil","1209.401mil","1842mil","1240.897mil","T","270.00","RES-000206-01"
"R19","RESC0603-01","2335mil","1360mil","2335mil","1360mil","2303.504mil","1360mil","T","0.00","RES-000206-01"
"R20","RESC0603-01","2065mil","1580mil","2065mil","1580mil","2033.504mil","1580mil","T","0.00","10K"
"R21","RESC0603-01","1679mil","2238.401mil","1679mil","2238.401mil","1679mil","2269.897mil","T","270.00","10K"
"R22","RESC0603-01","1614mil","2238.401mil","1614mil","2238.401mil","1614mil","2269.897mil","T","270.00","10K"
"R30","RESC0603-01","3260mil","2330.401mil","3260mil","2330.401mil","3260mil","2361.897mil","T","270.00","10K"
"R42","RESC0603-01","389mil","1842.74mil","389mil","1842.74mil","357.504mil","1842.74mil","T","0.00","1K50"
"R43","RESC0603-01","389mil","1761.401mil","389mil","1761.401mil","357.504mil","1761.401mil","T","0.00","1K50"
"RA2","RESCAF0804","2840mil","1602.401mil","2840mil","1602.401mil","2822.284mil","1637.342mil","T","270.00","10K"
"S1","PCBComponent_1_-_duplicate","690mil","1585mil","690mil","1585mil","630.945mil","1450.158mil","T","90.00","Switch 4.5x4.5mm"
"RESET","PCBComponent_1_-_duplicate","907mil","1582.74mil","907mil","1582.74mil","966.055mil","1717.583mil","T","270.00","Switch 4.5x4.5mm"
"U2","RENESAS_P-HWQFN40-6X6-0.50","2747mil","1844.401mil","2747mil","1844.401mil","2658.417mil","1731.212mil","T","90.00","S124-QFN40"
"U3","DFN8_(3X3)_PITCH_0.65","3155mil","2255.401mil","3155mil","2255.401mil","3116.614mil","2200.283mil","T","0.00","ISL80505IRAJZ"
"X2","ABRACON_ABS07","1925mil","1828.401mil","1925mil","1828.401mil","1925mil","1777.22mil","T","90.00","32.769KHz"
"J18","CON-2P-2.54","2900mil","2742.401mil","2900mil","2742.401mil","2850mil","2742.401mil","T","0.00","2.54mm 1x2"
"J19","PA2.0_4P","169mil","1726.401mil","169mil","1726.401mil","256.598mil","1844.512mil","T","90.00","SEEED Grove RA"
"C13","CAPC0603-01","881mil","2003mil","881mil","2003mil","912.496mil","2003mil","T","180.00","0.1uF"
"J1","HDR2X16","1528.158mil","2630.708mil","2278.157mil","2680.708mil","2278.157mil","2680.708mil","T","180.00","2x16"
"J2","HDR2X16_-_INVERSE","1541mil","1032mil","791mil","982mil","791mil","982mil","T","0.00","2x16"
"J10","CON-10_C","3170mil","1187.401mil","3170mil","1187.401mil","3220mil","987.401mil","T","90.00","1.27mm 2x5"

